"GEOID","pct_male","pct_female"
"17099",50.3,49.7
"17101",54.2,45.8
"17103",53.2,46.8
"17105",51.1,48.9
"17107",49.3,50.7
"17109",48.7,51.3
"17111",49.8,50.2
"17113",48.6,51.4
"17115",47.9,52.1
"17117",49.6,50.4
"17119",48.7,51.3
"17121",49.3,50.7
"17123",49.6,50.4
"17125",49.2,50.8
"17127",47.2,52.8
"17129",49,51
"17131",50,50
"17133",49.1,50.9
"17135",52.5,47.5
"17137",50.1,49.9
"17139",49.2,50.8
"17141",49.6,50.4
"17143",48.5,51.5
"17145",54.7,45.3
"17147",49.2,50.8
"17149",49.4,50.6
"17151",53.8,46.2
"17153",49.3,50.7
"17155",51.8,48.2
"17157",55.4,44.6
"17159",49.5,50.5
"17161",49.3,50.7
"17163",48.3,51.7
"17165",49.2,50.8
"17167",48,52
"17169",52.4,47.6
"17171",48.7,51.3
"17173",49.3,50.7
"17175",49.4,50.6
"17177",48.4,51.6
"17179",49.2,50.8
"17181",50.1,49.9
"17183",49.7,50.3
"17185",49.1,50.9
"17187",47.6,52.4
"17189",50.3,49.7
"17191",49.4,50.6
"17193",48.9,51.1
"17195",49.5,50.5
"17197",49.6,50.4
"17199",49.9,50.1
"17201",48.8,51.2
"17203",50,50
"18001",49.9,50.1
"18003",48.9,51.1
"18005",49.9,50.1
"18007",49.9,50.1
"18009",49.7,50.3
"18011",49.5,50.5
"18013",48.8,51.2
"18015",50.2,49.8
"18017",50.2,49.8
"18019",48.8,51.2
"18021",49.3,50.7
"18023",49.8,50.2
"18025",50.7,49.3
"18027",50.4,49.6
"18029",49.8,50.2
"18031",49.6,50.4
"18033",49.9,50.1
"18035",48.3,51.7
"18037",49.8,50.2
"18039",49.5,50.5
"18041",49.2,50.8
"18043",48.3,51.7
"18045",50.2,49.8
"18047",49.3,50.7
"18049",49.3,50.7
"18051",50.3,49.7
"18053",47.7,52.3
"18055",49.7,50.3
"18057",48.8,51.2
"18059",49.3,50.7
"18061",49.7,50.3
"18063",49.9,50.1
"18065",52.6,47.4
"18067",48.4,51.6
"18069",49.3,50.7
"18071",49.6,50.4
"18073",50,50
"18075",50.2,49.8
"18077",47.6,52.4
"18079",50.4,49.6
"18081",49.1,50.9
"18083",50.8,49.2
"18085",49.9,50.1
"18087",50.5,49.5
"18089",48.4,51.6
