fips,pop
17089,532403
17101,15678
17009,6578
17123,11438
17075,27114
17021,32304
17059,4828
17077,56750
17143,179179
17181,16653
17147,16344
17169,6768
17175,5342
17005,16426
17007,53544
17015,14305
17029,50621
17083,21773
17039,15638
17051,21336
17107,28618
17117,44926
17165,23491
17135,28414
17195,55175
6031,152940
6063,18807
6079,283111
6019,999101
6029,900202
6059,3175692
6111,846006
6009,45905
6101,96971
6081,766573
6109,54478
6077,762148
6005,39752
8095,4265
8007,14029
8031,727211
8061,1406
8055,6897
8009,3581
8015,20356
8047,6243
8045,60061
8059,582881
8079,769
8103,6324
8115,2248
8021,8205
8027,5068
8001,517421
8037,55127
8065,8127
8081,13283
8097,17767
8017,1831
8011,5577
8033,2055
8057,1392
8069,356899
8083,26183
8113,8179
16015,7831
16029,7155
16005,87808
16011,46811
16027,229849
16057,40108
16075,23951
17129,12196
17099,108669
17115,104009
17191,16215
17055,38469
17109,29682
17139,14501
17151,4177
17173,21634
17019,209689
17053,12961
17093,128990
17121,37205
17125,13359
17025,13184
17133,34637
17201,282572
17153,5335
17045,17161
17011,32628
17033,18667
17155,5739
17103,34096
17159,15513
17189,13887
17127,13772
17017,12147
18061,40515
18169,30996
18075,20436
27051,5972
27089,9336
27163,262440
27065,16337
13035,24936
13045,119992
13081,22372
13077,148509
13083,16116
13027,15457
13129,57963
13113,114421
13217,111744
13133,18324
13085,26108
13139,204441
15009,167417
15005,86
16045,18112
16085,11392
16069,40408
16061,3838
16083,86878
13311,30798
13225,27546
13223,168667
13229,19465
13231,18962
13245,202518
13251,13966
13267,25286
13019,19397
13295,69761
13135,936250
13013,83240
13049,13392
13065,6618
13015,107738
13097,146343
13131,24633
13161,15115
13141,8457
13037,6189
13193,12947
13021,153159
13145,35236
13249,5257
13023,12873
13093,13390
13119,23349
13307,2607
13171,19077
13125,2971
13239,2299
13159,14219
13167,9643
13179,61435
13195,29880
13253,8090
13277,40644
13233,42613
13269,8020
13273,8531
13279,26830
13319,8954
13221,15259
13247,90896
13299,35734
13309,7855
13315,8635
13011,19234
13031,79608
13061,2834
13127,85292
29143,17076
48355,362294
48379,12514
48385,3452
48431,1291
48065,5926
48161,19717
48197,3933
48045,1546
48291,88219
48301,169
48395,17074
48401,54406
48455,14651
48019,23112
48075,7306
48091,156209
48225,22968
48349,50113
48415,16703
48433,1350
48021,88723
48025,32565
48103,4797
50021,58191
50017,28892
50027,55062
49049,636235
49013,19938
49047,35734
49011,355481
49015,10012
49017,5051
51093,37109
51678,7446
51089,50557
51101,17148
51109,37591
51147,22802
51165,81948
51181,6422
51043,14619
51117,30587
51015,75558
51075,23753
51113,13261
36031,36885
36011,76576
36087,325789
36063,209281
36059,1356924
36097,17807
36017,47207
36045,109834
36103,1476601
36121,39859
36075,117124
36117,89918
36007,190488
36029,918702
36105,75432
36071,384940
37087,62317
1009,57826
8013,326196
8039,26729
8125,10019
8073,5701
8117,31011
8019,9700
8029,31162
8101,168424
8085,42758
8093,18845
8077,154210
8099,12172
8041,720403
8121,4908
8005,656590
8089,18278
10003,558753
10005,234225
11001,705749
9005,180333
9003,891720
9011,265206
21047,70461
21059,101511
21085,26427
21101,45210
21103,16126
21107,44686
21109,13329
21125,60813
21157,31100
21163,28572
21173,28157
21181,7269
21185,66799
21187,10901
21203,16695
21209,57004
21227,132896
21003,21315
21017,19788
21019,46718
21029,81676
21067,323152
21075,5969
21119,14806
21175,13309
21177,30622
21199,64979
21237,7157
21001,19202
21013,26032
21057,6614
18127,170389
18147,20277
18157,195732
18057,338011
18087,39614
18011,67843
18107,38338
18019,118302
18021,26225
18047,22758
18071,44231
18119,20799
18135,24665
18013,15092
18161,7054
18027,33351
18083,36594
18123,19169
18131,12353
18171,8265
1133,23629
1043,83768
1071,51626
1129,16326
1103,119679
1021,44428
1045,49172
1049,71513
1111,22722
1097,413210
1029,14910
1005,24686
1011,10101
1025,23622
1095,96774
18105,148431
18149,22995
18017,37689
18177,65884
19061,97311
19079,14773
19175,12241
19159,4894
19001,7152
19039,9395
19093,6860
19107,10246
19179,34969
19025,9668
19031,18627
19073,8888
19115,11035
19189,10354
19007,12426
19095,16184
19191,19991
19127,39369
19015,26234
19089,9158
19081,10630
26125,1257584
26003,9108
26121,173566
26089,21761
26035,30950
26151,41170
26073,69872
26131,5720
26157,52245
26001,10405
26067,64697
26111,83156
26021,153401
26135,8241
26165,33631
26037,79595
26043,25239
26063,30981
13089,759297
13157,72977
13163,15362
13181,7921
13215,195769
13235,11137
13259,6621
13281,12037
13287,7985
13155,9416
13001,18386
13025,19109
24003,579234
24005,827370
24021,259547
24009,92525
24023,29014
24029,19422
24031,1050688
24013,168447
24035,50381
24037,113510
24017,163257
24019,31929
24043,151049
24045,103609
24015,102855
24011,33406
25025,803907
25001,212990
25007,17332
25003,124944
25005,565217
25023,521202
25009,789034
25021,706775
25027,830622
25019,11399
26033,37349
26005,118081
40055,5712
40091,19596
40099,14073
40115,31127
40145,81289
40015,28762
40101,67997
40013,47995
41029,220944
41023,7199
41005,418187
41057,27036
41033,87487
41059,77950
41009,52354
41065,26682
41039,382067
41067,601592
41007,40224
46085,3781
46039,4351
46015,5297
46053,4185
46099,193134
46025,3736
46077,4939
46027,14070
46041,5892
46065,17526
46111,2344
46059,3191
46135,22814
46005,18453
46035,19775
46073,2013
46117,3098
46107,2153
46023,9292
46091,4935
46105,2865
46121,10177
46102,14177
47165,191283
47169,11284
47027,7615
47157,937166
55059,169561
56019,8445
56021,99500
56039,23464
1067,17205
1089,372909
1001,55869
1123,40367
1061,26271
1131,10373
2016,5634
2050,18386
32021,4505
32017,5183
51620,7967
51570,17370
2060,836
2150,12998
2188,7621
2185,9832
2220,8493
2090,96849
2130,13901
2170,108317
2180,10004
2070,4916
2100,2530
2282,579
2164,1592
2240,6893
2020,288000
2013,3337
2261,9202
2105,2148
2230,1183
2275,2502
2195,3266
4019,1047279
4013,4485414
4009,38837
4023,46498
4012,21108
4015,212181
4005,143476
4027,213787
4011,9498
4021,462789
5099,8252
5037,16419
5043,18219
5027,23457
5125,122437
5141,16545
5065,13629
5063,37825
5083,21466
5035,47955
5047,17715
5109,10718
5069,66824
5097,8986
5127,10281
5131,127827
5007,279141
5017,10118
5071,26578
21099,19035
21129,7403
21223,8471
21061,12150
21105,4380
21023,8303
21179,46233
21135,13275
21155,19273
21239,26734
21015,133581
21113,54115
21127,15317
21133,21553
21145,65418
21195,57876
21235,36264
21005,22747
21071,35589
21073,50991
21147,17231
21153,12161
21169,10071
21205,24460
21213,18572
21049,36263
21039,4760
21041,10631
21065,14106
21077,8869
22099,53431
22115,47429
19121,16338
2110,31974
2290,5230
2068,2097
2122,58708
2198,6203
2158,8314
4007,54018
4003,125922
4001,71887
4025,235099
4017,110924
5021,14551
5039,7009
5121,17958
5009,37432
5079,13024
5053,18265
5045,126007
5089,16694
5129,7881
5033,63257
5059,33771
5087,16576
19111,33657
19137,9917
19123,22095
19041,16016
19053,7870
19185,6441
19113,226706
19141,13753
20193,7777
20025,1994
20167,6856
20023,2657
20079,34429
20093,3838
20185,4156
20071,1232
20051,28553
20125,31829
20153,2530
20145,6414
20061,31670
20049,2530
20099,19618
20175,21428
20091,602401
20179,2521
20199,1518
5107,17782
5133,17007
5019,22320
5095,6701
5103,23382
5001,17486
5015,28380
5119,391911
6033,64386
26091,98451
26105,29144
26117,63888
26113,15118
26147,159128
26159,75677
26011,14883
26015,61550
26071,11066
26143,24019
26153,8094
26023,43517
26055,93088
26097,10799
26009,23324
26061,35684
32031,471519
32510,55916
33013,151391
33001,61303
33017,130633
34025,618795
34037,140488
34013,798975
34015,291636
34031,501826
34003,932202
34041,105267
51021,6280
51023,33419
51520,16762
51830,14954
51035,29791
51191,53740
51139,23902
51510,159428
51650,134510
51013,236842
51027,21004
51179,152882
51760,230436
51057,10953
51185,40595
51685,17478
51183,11159
51683,41085
51775,25301
51037,11880
51081,11336
53067,290536
53013,3985
48407,28859
48459,41753
48473,55246
48493,51070
48219,23021
48329,176832
48299,21795
48147,35514
48041,229211
48165,21492
48179,21886
48237,8935
48035,18685
48029,2003554
48023,3509
48121,887207
48167,342139
48393,854
48463,26741
17001,65435
17027,37562
17037,104897
17047,6395
17079,9610
17081,37684
17183,75758
17197,690743
17199,66597
17023,15441
17041,19465
17049,34008
17057,34340
17061,12969
17065,8116
17069,3821
17073,48913
17087,12417
17095,49699
17097,696535
17105,35648
17171,4951
17179,131803
17187,16844
18069,36520
19197,12562
5077,8857
5041,11361
5049,12477
19029,12836
19035,11235
19047,16820
19057,38967
19065,19650
19085,14049
19109,14813
19129,15109
19133,8615
19139,42664
19143,5958
19153,490161
19187,35904
19169,97117
19193,103107
19013,131228
19075,12232
19097,19439
19105,20681
19131,10586
19181,51466
19161,9721
19149,25177
19019,21175
19045,46429
19055,17011
19101,18295
19005,13687
19163,172943
19049,93453
20181,5917
20187,2006
20119,4033
20127,5620
20151,9164
