"GEOID","poverty_total","poverty_male","poverty_female"
"18109",10.3,4.1,6.2
"18111",12.6,5.3,7.3
"18113",7.3,3.4,3.9
"18115",7,2.8,4.2
"18117",14.6,6.2,8.4
"18119",15.1,6.3,8.8
"18121",13.2,5.1,8.1
"18123",10.8,4.4,6.4
"18125",11.5,5.2,6.3
"18127",9.6,4,5.6
"18129",8.8,3.8,5.1
"18131",12.1,4.9,7.2
"18133",9.7,4.3,5.3
"18135",14.5,6,8.5
"18137",11.7,5.4,6.3
"18139",14.2,5.7,8.5
"18141",14.8,6.6,8.2
"18143",14.6,6.1,8.5
"18145",11,4.6,6.5
"18147",9.2,3.2,5.9
"18149",14.7,5.6,9.2
"18151",8.9,3.9,5
"18153",10.7,3.7,6.9
"18155",18.8,9.4,9.3
"18157",17.1,8.7,8.3
"18159",8.4,3.2,5.2
"18161",7.2,2.8,4.4
"18163",16.1,6.8,9.3
"18165",14.7,6.7,7.9
"18167",17.5,8.3,9.3
"18169",10.8,4.3,6.5
"18171",11.5,5.1,6.4
"18173",6.8,2.7,4.1
"18175",11.8,5.5,6.3
"18177",15.7,6.5,9.1
"18179",8.2,3.3,4.9
"18181",9.1,3.4,5.7
"18183",9.5,4.4,5.1
"19001",10.6,4.2,6.4
"19003",13.8,5.9,7.9
"19005",10.7,4.5,6.2
"19007",17.4,8.8,8.7
"19009",11.3,4.3,7.1
"19011",8.6,3.4,5.2
"19013",15.2,6.4,8.8
"19015",7.5,3.3,4.2
"19017",6.9,3.1,3.8
"19019",8.6,3.7,4.9
"19021",12.3,5.7,6.6
"19023",10.1,5,5.1
"19025",11.6,4.8,6.8
"19027",8.4,4.1,4.4
"19029",13.6,5.8,7.8
"19031",6.8,2.8,4
"19033",9.9,3.8,6.1
"19035",10.6,4.7,5.9
"19037",6.6,2.9,3.7
"19039",12.6,6,6.6
"19041",10.6,3.8,6.8
"19043",11.3,5.7,5.6
"19045",12.8,5.5,7.3
"19047",17.5,7.9,9.6
"19049",5.2,2.4,2.8
"19051",9.7,3.8,6
"19053",16.7,8.6,8.1
"19055",9.1,4.2,4.8
"19057",15.8,6.4,9.4
"19059",8.1,3.2,4.9
"19061",11,4.4,6.6
"19063",11.2,4.3,6.9
"19065",11,5.1,5.8
"19067",14.3,4.8,9.5
