"GEOID","white","black","ai_an","asian","nh_opi","other"
"27031",86.2,0.1,8.8,0.9,0,6.5
"27033",89.4,0.9,0.1,4,0.2,6.8
"27035",95.8,0.8,0.9,0.4,0,3.9
"27037",82.1,6.3,0.3,4.8,0.1,10.2
"27039",94.7,0.3,0.4,0.9,0,5.1
"27041",96.9,0.4,0.3,0.3,0,3.6
"27043",96.7,0.3,0.3,0.4,0,3.7
"27045",97.6,0.5,0,0.5,0,2.4
"27047",91.6,1.1,0.5,2.6,0,6.2
"27049",94,1.3,0.8,0.8,0,5.1
"27051",96.8,0.3,0.3,0,0,4.8
"27053",72.1,13.3,0.7,7.1,0,10.5
"27055",96.9,1.3,0.2,0.4,0,2.1
"27057",93.4,0.6,2.2,0.7,0,5.1
"27059",95.1,0.5,0.3,1.5,0,4.5
"27061",92.8,0.5,3.7,0.4,0,5
"27063",94.5,0.4,0,2.1,0,4.7
"27065",95.9,0.2,0.5,0.6,0,5.4
"27067",88.3,5.3,0.3,1,0,6.8
"27069",96.3,1.5,0.5,0.7,0,2.1
"27071",93.6,0.6,3.1,0.4,0,3.7
"27073",96,0.9,0.2,0.8,0,3.1
"27075",96.9,0.6,0.9,0.1,0.2,2.5
"27077",93,0.1,1.3,0.1,0,11
"27079",95.5,0.8,0.2,0.4,0,4.5
"27081",97.5,0.4,0.6,0.2,0,2.5
"27083",86.2,3.5,0.4,4.3,0,7.5
"27085",95,0.6,0.2,0.6,0,4.9
"27087",46.8,0.5,39.9,0.3,0.2,24.4
"27089",96.8,0.4,0.4,0.4,0.1,3.3
"27091",96.3,0.5,0.2,0.5,0.1,3.9
"27093",97,0.4,0.1,0.3,0,3.4
"27095",90.2,0.5,5,0.7,0.1,6.8
"27097",96.3,0.6,0.2,0.4,0,3.8
"27099",86.8,3.9,0.1,3.7,0.6,6.9
"27101",96.5,0.4,0.3,1.6,0,2.4
"27103",92,2.8,0,1.7,0,6
"27105",77.8,4.3,0.7,6.9,0,12.9
"27107",93.3,1,2.2,0.4,0,5.6
"27109",83.7,6.2,0.4,5.8,0.1,6.6
"27111",94.9,1.5,0.5,0.6,0,4
"27113",94,1.1,1.6,1.2,0,4
"27115",91.4,2.3,2.4,0.6,0,6.2
"27117",92,1.3,1.9,0.2,0,7.5
"27119",91.7,2.2,1.7,1,0.1,5.6
"27121",96.5,0.4,0.3,0.6,0,3.5
"27123",66.3,12.1,0.6,14.4,0,10.7
"27125",95.2,0.5,1.7,0,0,4.8
"27127",88,0.8,5,2.7,0,5.3
"27129",89.4,0.4,1.5,0.7,0,9.5
"27131",85.6,5.7,0.4,2.1,0.1,8.4
"27133",96.4,0.9,0.3,1.1,0,2.2
"27135",92.5,1,1.8,2.7,0.1,3.6
"27137",92.1,1.6,1.8,1,0,6.5
"27139",84,4.3,0.5,6.1,0,8
"27141",92.4,2.5,0.6,1.3,0,5.3
"27143",95.3,1.1,0.3,0.7,0,3.4
"27145",87.8,6.4,0.2,2.1,0,5.5
"27147",90.5,3.2,0.4,1.5,0.1,5.5
"27149",90.4,2,1.7,2.4,0.2,4.5
"27151",94.5,2.2,0,0.3,0.6,3.1
"27153",94.3,0.7,0.5,0.6,0,5.3
"27155",90.7,0.5,5,0.2,0,6.3
"27157",96.5,0.6,0.3,0.5,0,3.3
"27159",95.1,0.6,1.1,0.4,0,5
"27161",92.9,2.4,0.7,0.6,0,5.1
"27163",85.4,4.6,0.4,5.8,0.1,6.8
"27165",85.8,0.9,0.1,1.2,0,13.1
"27167",98.3,0.4,0.3,0,0,1.9
"27169",93.6,1.3,0.4,2.6,0,3.8
"27171",94.1,1.4,0.3,1.1,0,4.9
"27173",92.6,0.7,2.5,0.6,0,5.6
"28001",40.9,56.3,0.3,0.6,0,3
"28003",84.4,12.1,0.2,0.3,0,4.7
"28005",57.4,41.9,0,0.2,0,0.8
"28007",53.8,42.3,0.1,0.2,0,5.5
"28009",61.4,34.2,0,0,0.2,7.4
"28011",33,64.2,0.1,0.9,0,2.3
"28013",65.2,27.4,0,0.2,0,9
"28015",64.5,34.7,0,0,0,1.4
"28017",50.3,44.3,0.1,0.2,0,6.6
"28019",67.8,31,0.4,0,0.1,1.2
"28021",11.3,87.2,0.1,1.1,0,0.5
"28023",63.6,35.5,0.1,0,0,1.5
"28025",38.8,60,0.5,0.3,0,0.8
"28027",20.9,77.6,0.2,0.5,0,1.6
"28029",45.1,51.6,0,0.4,0,4.3
"28031",62.6,36.6,0.2,0,0,1.2
"28033",66.7,27.3,0.2,1.4,0,6.5
"28035",59.4,37.2,0.2,0.8,0,4.6
"28037",63.4,36,0.2,0.1,0,0.8
"28039",88.9,8,0.5,0.4,0,3.4
"28041",73.4,25.9,0.2,0,0,0.8
"28043",54.9,43.4,0.7,0.2,0,1.5
"28045",87.5,8,0.6,0.6,0,6
"28047",67.9,24.9,0.6,2.8,0,6.6
"28049",25.3,72.6,0.1,0.8,0,1.6
"28051",15.5,84,0,0.1,0,0.5
"28053",20.8,76,0.3,0.1,0,2.8
"28055",37.8,61.6,0,0,0,0.6
"28057",91.1,7.3,0.4,0,0,2.1
"28059",70.8,21.3,0.4,2.4,0.1,7.5
"28061",44.7,54.3,0,0,0,1.4
"28063",13.3,85.8,0.2,0.6,0,0.3
"28065",37.9,61.3,0,0.1,0,1.1
"28067",68.6,29.4,0.2,0.3,0.1,2.4
"28069",34.5,61.7,3.7,0.1,0,0.2
"28071",71.4,23.6,0.2,2.1,0,3.7
"28073",76.4,20.1,0.1,1.3,0,3.8
"28075",54.2,43.7,0.2,0.7,0,1.9
"28077",65,32.5,0.2,0.2,0,3.1
"28079",51.2,41.9,5.7,0.5,0,1.2
"28081",66.9,29.5,0.3,1,0,3.5
"28083",24,74.2,0,0.6,0,1.5
"28085",67.5,31.9,0,0.5,0,0.2
"28087",53.4,43.8,0.1,1,0,2.9
"28089",57.2,38,0.2,2.6,0,2.8
"28091",65.3,32.6,0,0.5,0.1,1.7
"28093",49.5,47.8,0.1,0,0,3.6
"28095",68.1,31.2,0,0.1,0,1.1
"28097",52.9,44.2,0,0.3,0,4.7
"28099",60,20.9,16.7,0.5,0,3.4
"28101",61.4,30.5,5.3,0.5,0,3.4
"28103",27.3,72.2,0,0,0,1
"28105",57.4,37,0.1,3.3,0.1,3.8
"28107",48.7,48.6,0.2,0,0.1,4.7
"28109",83.8,12.8,0.6,0.2,0,4.8
"28111",79,19.8,0,0.1,0,2
"28113",43.8,54.3,0.5,0.3,0,1.8
"28115",77.7,16,0,0.1,0,7.5
"28117",83.6,10,0.1,2.2,0,7.8
"28119",27,72,0,0.2,0,1.4
"28121",75.6,20.8,0.2,1.2,0,3.6
"28123",57.2,38.1,0.4,0.3,0,4.7
"28125",25.1,74.6,0.1,0,0,0.2
"28127",61.8,36.6,0,0.6,0,2
"28129",75.8,23,0,0.5,0.2,0.9
"28131",78.2,18.3,0.2,0,0.1,6.2
"28133",25.2,73.9,0.1,0.1,0,1
"28135",35.4,53.7,0.2,1.4,0.1,9.7
"28137",66.5,29.9,0.1,0.1,0.1,5.8
"28139",77.4,16.7,0.1,0.3,0,7.2
"28141",96.1,2.7,0.2,0,0,2
"28143",19.1,78.5,0,1.4,0,1.7
"28145",79.1,15.5,0,0.4,0,6.7
"28147",52.9,46.3,0,0.1,0,0.8
"28149",48.3,49.4,0.3,0.7,0,2.3
"28151",25.6,72.2,0.1,0.6,0,2.1
"28153",57.4,41,0.1,0.1,0,2.2
"28155",78.8,20.4,0.2,0.3,0,0.3
"28157",27.9,71.1,0,0.1,0,1.6
"28159",50.5,46.9,1.3,0,0,2.3
"28161",59,39.7,0.1,0.2,0,1.7
"28163",36.9,59.6,0.3,0.4,0,4
"29001",91.6,2.7,0.1,2.5,0.2,5.3
"29003",95.3,1.4,0.3,0.3,0.7,3.8
"29005",97.6,0.5,0.8,0.5,0,1
"29007",88.9,5.7,0.4,0.1,0.1,9
"29009",92.1,0.2,0.7,1.4,0,8.9
"29011",92.9,0.3,2.5,0,0.1,8.2
"29013",95.4,1.5,0.6,0.3,0.2,3.3
"29015",96.1,0.3,1.5,0.1,0,4
"29017",97.1,0.4,0.9,0.4,0,2.6
"29019",81.2,9,0.3,4.4,0.1,8.9
"29021",87.3,5.2,0.5,1.1,0.5,9.4
"29023",90.4,5.5,0.6,0.8,0.1,5.2
"29025",95.7,0.6,0.7,0.4,0,4.9
"29027",92,4.4,0.5,0.8,0.3,3.7
"29029",96.3,0.8,0.6,0.3,0,3.4
"29031",87.8,7.4,0.1,1.7,0,5.6
"29033",95.6,1.9,0.2,0.5,0,3.4
"29035",97,0.1,1.6,0,0,2.6
"29037",91.2,4.1,0.6,0.8,0.1,5.7
"29039",96.2,0,0.3,0.2,0,5.9
"29041",95.4,2.6,0,0,0,4
"29043",95.3,0.8,0.5,0.6,0,5.2
"29045",97.3,0.3,0.3,1,0,2.2
"29047",85.1,6.1,0.5,2.2,0.2,9.8
"29049",95.7,1.5,0.4,0.7,0,3.5
"29051",84,11.7,0.4,1.6,0,4.4
"29053",88.8,5.8,0.5,0.5,0.2,8
"29055",96.7,0.4,0,0.2,0,4.8
"29057",95.5,0.4,0.9,0.8,0,4.5
"29059",96.2,0.1,1.4,0.5,0,3.2
"29061",97.1,0.6,0.6,0.2,0.1,2.7
"29063",85.9,9,0.8,0.6,0.3,6.8
"29065",95.2,0.5,0.7,0.3,0,6.1
"29067",98.3,0.2,0.5,0.1,0,1.2
"29069",84.6,10.2,0.2,0.6,0,6.5
"29071",96,0.7,0.2,0.5,0,4.6
"29073",97.2,0.5,0.5,0.3,0,2.7
"29075",97.4,0.6,0.3,0.5,0.1,2.2
"29077",89.9,3.3,0.5,2,0.1,7.3
"29079",96,0.3,0.6,0.6,0.1,4.7
"29081",96.3,0.5,0.7,0.2,0,3.6
"29083",95.4,1.3,0.4,0.5,0,4.6
"29085",96.2,0,1.6,0.3,0,3.6
"29087",96.8,1.1,1,0.7,0,1
"29089",91.6,5.9,0.9,0.4,0,2.2
"29091",96.2,0.2,1.2,0.7,0,3.3
"29093",95.6,1.1,0.7,0.3,0.1,4.6
"29095",67,23.3,0.4,1.8,0.3,10.5
"29097",90.4,1.9,1.5,1.1,0.1,8.6
"29099",96.1,0.9,0.3,0.8,0,3.7
"29101",89,4.3,0.4,1.7,0.3,8
"29103",96.4,0.5,0,0.6,0.1,4.5
"29105",95,0.6,1,0.4,0,5.8
"29107",93.8,2.2,0.3,0.5,0.2,4.9
"29109",94.8,0.5,0.8,0,0.2,5.6
"29111",93,4.2,0.8,0,0.2,3.7
"29113",94.9,1.9,0.3,0.3,0,4.6
